value,count
"((1,5),(10,8));",2
"((1,5),(10,9));",2
"((11,2),(3,4));",2
"((1,3),(2,6));",2
"((10,11),(5,8));",2
"((4,9),(6,7));",2
"((4,6),(7,9));",2
"((1,2),(3,8));",2
"((1,7),(3,4));",2
"((1,3),(10,4));",2
"((10,11),(5,9));",2
"((1,3),(11,2));",2
"((1,3),(4,6));",2
"((1,3),(4,7));",2
"((1,3),(2,5));",2
"((1,3),(2,9));",2
"((1,2),(10,3));",2
"((1,8),(3,4));",2
"((10,11),(5,7));",2
"((1,3),(11,4));",2
"((2,3),(4,6));",2
"((10,4),(2,3));",2
"((1,5),(10,7));",2
"((1,2),(3,6));",2
"((1,3),(4,9));",2
"((1,10),(5,7));",2
"((1,5),(3,4));",2
"((2,7),(3,4));",2
"((10,8),(11,5));",2
"((1,2),(3,7));",2
"((10,2),(5,9));",2
"((1,3),(2,7));",2
"((11,9),(6,7));",2
"((10,7),(3,5));",2
"((11,6),(7,9));",2
"((10,4),(5,9));",2
"((1,9),(6,7));",2
"((10,9),(11,5));",2
"((10,7),(2,5));",2
"((10,9),(3,5));",2
"((1,6),(7,9));",2
"((1,6),(3,4));",2
"((3,9),(6,7));",2
"((1,2),(3,4));",2
"((10,2),(5,8));",2
"((3,6),(7,9));",2
"((10,7),(11,5));",2
"((10,8),(2,5));",2
"((1,2),(3,9));",2
"((10,3),(5,9));",2
"((10,8),(3,5));",2
"((1,10),(3,4));",2
"((2,6),(3,4));",2
"((1,2),(3,5));",2
"((10,9),(6,7));",2
"((10,8),(4,5));",2
"((10,2),(5,7));",2
"((2,3),(4,7));",2
"((10,4),(5,8));",2
"((1,3),(2,4));",2
"((2,5),(3,4));",2
"((1,3),(4,5));",2
"((2,3),(4,5));",2
"((1,3),(2,8));",2
"((10,3),(5,7));",2
"((10,9),(4,5));",2
"((10,3),(5,8));",2
"((1,11),(3,4));",2
"((1,2),(11,3));",2
"((10,4),(5,7));",2
"((10,9),(2,5));",2
"((2,6),(7,9));",2
"((10,7),(4,5));",2
"((2,8),(3,4));",2
"((1,9),(3,4));",2
"((2,3),(4,9));",2
"((2,3),(4,8));",2
"((10,6),(7,9));",2
"((1,10),(5,9));",2
"((11,4),(2,3));",2
"((10,2),(3,4));",2
"((1,3),(10,2));",2
"((1,10),(5,8));",2
"((1,3),(4,8));",2
"((2,9),(6,7));",2
"((2,9),(3,4));",2
